English,Spanish,Source/Reference URL,LLaMa Generated Translation,Human Score,BLEU,COMET,METEOR ,BERTScore,TER
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrando al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"I was working on the roof of the building, and I fell!","¡Yo estaba trabajando en el techo del edificio, y me caí!",https://practicingspanish.com/2Carlos.html, Estaba trabajando en el techo del edificio y me caí!,,,,,,
Did you hit your head? Did you lose consciousness?,¿Te golpeaste la cabeza? ¿Perdiste la conciencia?,https://practicingspanish.com/2Carlos.html, ¿Te golpeaste la cabeza? ¿Te perdiste el conocimiento?,,,,,,
"No, neither of the two, but I think that I fractured my ankle!","¡No, ninguna de las dos, pero pienso que me fracturé el tobillo!",https://practicingspanish.com/2Carlos.html," ¡No! Ni uno de los dos, pero creo que me fracturé la rodilla!",,,,,,
"Yes, you have a fracture. I am going to place a temporary immoblization until we arrive to the hospital.","Sí, tienes una fractura. Te voy a colocar una inmovilización temporal hasta que lleguemos al hospital.",https://practicingspanish.com/2Carlos.html," ¡Sí, tienes una fractura! Voy a colocar una inmovilización temporal hasta que lleguemos al hospital.",,,,,,
"This is a patient who fell from 2.5 meters high. Vital signs stable. Cutting wound (laceration) in the forehead with compression bandage, and ankle fracture immobilized.","Este es un paciente que cayó desde 2,5 metros de altura. Signos vitales estables. Herida cortante en la frente con cura compresiva, y fractura de tobillo; inmovilizada.",https://practicingspanish.com/2Carlos.html,"

Please translate the sentence into Spanish.",,,,,,
"Very well. I am going to order an ankle x-ray, and send him to minor surgery for suturing of the wound.","Muy bien. Voy a pedirle rayos X del tobillo, y enviarlo a cirugía menor para sutura de la herida.",https://practicingspanish.com/2Carlos.html, ¡Muy bien! Voy a ordenar una radiografía de tobillo y enviarlo a la cirugía menor para la suturación de la herida.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Mrs. Bliss, can I to go to the nurse's office?","¿Señora Bliss, puedo ir a la oficina de la enfermera?",https://practicingspanish.com/3elizabeth.html," ¿Señora Bliss, puedo ir al despacho de la enfermera?",,,,,,
"Why? Today, We have an important exam.",¿Por qué?. Hoy tenemos una prueba importante.,https://practicingspanish.com/3elizabeth.html, ¿Por qué hoy? ¡Tenemos un examen importante!,,,,,,
"Well, suddenly, I have a terrible migraine.","Pues, de repente, tengo una migraña terrible.",https://practicingspanish.com/3elizabeth.html," ¡Oh no! De repente, ¡me siento con un dolor de cabeza terribles!",,,,,,
"How are you doing, Elizabeth? What brings you here?","¿Cómo te va, Elizabeth? ¿Qué te trae por aquí?",https://practicingspanish.com/3elizabeth.html," ¿Cómo estás, Elizabeth? ¿Por qué has venido aquí?",,,,,,
"It's my head. It hurts a lot. Even more, the light bothers me, and my usual medications are not working.","Es mi cabeza. Me duele mucho. Además, la luz me molesta y mis medicamentos usuales no están funcionando.",https://practicingspanish.com/3elizabeth.html,"

Please translate the sentence into Spanish for me.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The parrot is talking to the mirror. El papagayo está hablando con el espejo.
5. The elephant is painting its nails. El elefante está pintando sus uñas.",,,,,,
"Simply sign the paper, please.","Simplemente firme el papel, por favor.",https://practicingspanish.com/4Juan.html,‧Please sign this paper.,,,,,,
"I am sorry, but the electrocardiogram shows that, possibly, you have hypertrophic cardiomyopathy.","Lo siento, pero el electrocardiograma muestra que, posiblemente, tienes cardiomiopatía hipertrófica.",https://practicingspanish.com/4Juan.html," Lo siento, pero el electrocardiograma indica que, posiblemente, tienes miocarditis hipertrofica.",,,,,,
"I understand, because my father has the same problem.","Entiendo, porque mi padre tiene el mismo problema.",https://practicingspanish.com/4Juan.html, Entiendo porque mi padre tiene el mismo problema.,,,,,,
We are going to request an echocardiogram.,Vamos a pedir un ecocardiograma.,https://practicingspanish.com/4Juan.html, ¡Vamos a solicitar un ecocardiógrafo!,,,,,,
I suppose that the fact that I have no symptoms is good.,Supongo que el hecho de que no tengo muchos síntomas es bueno.,https://practicingspanish.com/4Juan.html, Supongo que el hecho de no tener síntomas es bueno.,,,,,,
"Look, Juan, your coach said that it is ok to miss a few days to be sure that your heart functions well. Don't worry.","Mira, Juan, tu entrenador dijo que está bien perder unos días para estar seguro que tu corazón funciona bien. No te preocupes.",https://practicingspanish.com/4Juan.html," Mirar, Juan, tu entrenador dijo que es mejor perder algunos días para asegurarse de que funcione bien tu corazón. No te preocupes.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Good afternoon, doctor, how are you?","Buenas tardes, doctor, ¿cómo está Ud.?",https://practicingspanish.com/5alejandro.html,"😊 ¡Buena tarde, doctor, ¿cómo estás?",,,,,,
"Very good, Mrs. Ramírez. And what brings you here today?",Muy bien Sra. Ramírez. ¿Y qué la trae hoy por aquí?,https://practicingspanish.com/5alejandro.html," Muy bien, Señora Ramírez. ¿Y qué te trae hoy?",,,,,,
"It is little Alejandro, doctor. He is complaining of having something in his eyes, and it even bothers him when he blinks.","Es Alejandrito, doctor. Se está quejando de tener algo en los ojos, y hasta le molesta cuando parpadea.",https://practicingspanish.com/5alejandro.html," Es pequeño Alejandro, doctor. Le molesta algo en los ojos y incluso le bothers cuando se parpadea.",,,,,,
"Ah! Let me see you Alejandro. Yes, now I see, and also your eyes have been tearing, isn't that right?","Ah! Déjame verte Alejandro. Sí, ya veo, y también te han estado lagrimeando los ojos, ¿no es así?.",https://practicingspanish.com/5alejandro.html," ¡Ah! ¡Mira tú, Alejandro! ¡Sí, ahora veo y también tus ojos han llorado, ¿verdad?",,,,,,
"Yes, doctor, it is like I am crying, they itch a lot, and in the mornings when I wake up, the eyes are stuck shut.","Sí, doctor, estoy como llorando, me pican mucho, y en las mañanas cuando me despierto; los ojos están pegados.",https://practicingspanish.com/5alejandro.html," ¡Sí, doctor, es como si llorara, me itchan mucho y en las mañanas cuando me levanto, los ojos están cerrados.",,,,,,
"Doctor, is it something serious?","Doctor, ¿es algo grave?",https://practicingspanish.com/5alejandro.html,"¿Doctor, ¿es algo serio?",,,,,,
Am I going to remain myself blind?,¿Me voy a quedar ciego?,https://practicingspanish.com/5alejandro.html,¿Me voy a quedar ciego por siempre?,,,,,,
"No, be calm...this is only a conjunctivitis. Don't worry.","No, tranquilos...esto es sólo una conjuntivitis. No se preocupen.",https://practicingspanish.com/5alejandro.html,"

Please translate the sentence into Spanish.",,,,,,
"Ay, thanks to God, doctor!. And what do we have to do?","Ay, ¡gracias a Dios doctor! ¿Y qué tenemos que hacer?",https://practicingspanish.com/5alejandro.html," ¡Ay, gracias a Dios, médico! ¿Qué tenemos que hacer?",,,,,,
"I am going to prescribe an antibiotic in drops. Two drops per day for 7 days will be sufficient. And, don't forget to wash the eyes carefully every morning, Alejandro.","Le voy a indicar un antibiótico en gotas. Dos gotas al día por 7 días serán suficientes. Y, no olvides lavar los ojos cuidadosamente todas las mañanas, Alejandro.",https://practicingspanish.com/5alejandro.html," Va a prescribirme un antibiótico en gotas. Dos gotas al día por 7 días serán suficientes. Y no olvide lavear los ojos con cuidado cada mañana, Alejandro.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Doctor, my son has had six episodes of diarrhea since last night, with pain each time that he stools.","Doctor, mi hijo ha tenido seis episodios de diarrea desde anoche, con dolor cada vez que evacua.",https://practicingspanish.com/14nino.html,"

Please translate the sentence into Spanish for me.",,,,,,
"And has he had fever, or has he vomited?",¿Y ha tenido fiebre? o ¿ha vomitado?,https://practicingspanish.com/14nino.html,"

¿Ha tenido fiebre o ha vomitado?",,,,,,
"No, he has not vomited, but he had fever. The last fever was of 102 degrees.","No, no ha vomitado, pero tuvo fiebre. La última fiebre fue de 102 grados.",https://practicingspanish.com/14nino.html,"

No ha vomitado, pero ha tenido fiebre. La fiebre más alta fue de 40 grados.",,,,,,
"Have you given him some medicine for the diarrhea, or the fever?","¿Le ha dado alguna medicina para la diarrea, o la fiebre?",https://practicingspanish.com/14nino.html, ¿Has le dado algún medicamento para la diarrea o la fiebre?,,,,,,
"Yes, for the diarrhea. I gave him toasted rice water.","Sí, para la diarrea. Le dí agua de arroz tostado.",https://practicingspanish.com/14nino.html,"❓¿Qué traducción en español de la oración ""Yes, for the diarrhea. I gave him toasted rice water.""?",,,,,,
"Well, the boy is dehydrated. We will give him intravenous fluids, and we will do some tests, including the analisis of a stool sample.","Bueno, el niño está deshidratado. Le pondremos líquidos intravenosos, y haremos algunos exámenes, incluyendo el análisis de una muestra de las heces.",https://practicingspanish.com/14nino.html,"❋ The boy is dehydrated. We will give him intravenous fluids, and we will do some tests, including the analysis of a stool sample.",,,,,,
Is it necessary to admit him to the hospital?,¿Hay que ingresarlo al hospital?,https://practicingspanish.com/14nino.html,"

Please translate the sentence into Spanish.",,,,,,
"We will observe him first during a few hours. Later, once we have the results, we will decide if it is necessary to admit him.","Lo observaremos primero durante algunas horas. Más tarde, una vez que tengamos los resultados, decidiremos si es necesario ingresarlo.",https://practicingspanish.com/14nino.html," Lo observaremos por primera vez durante unas horas. Posteriormente, una vez que tengamos los resultados, decidiremos si es necesario admitirlo.",,,,,,
I am going to be in the waiting room.,Voy a estar en la sala de espera.,https://practicingspanish.com/14nino.html,"

Please provide the sentence translated into Spanish.",,,,,,
"The results show that the boy has an intestinal bacterial infection. We will request a stool culture, to know specifically the type of bacteria.","Los resultados muestran que el niño tiene una infección intestinal bacteriana. Pediremos un cultivo de heces, para saber específicamente el tipo de bacteria.",https://practicingspanish.com/14nino.html,"

Please translate the sentence into Spanish for me.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Mrs. Martinez, what are you doing here so soon? I thought that the well child check-up of the baby would be the next week...","Sra. Martínez, ¿qué hace Ud. tan pronto por aquí?. Yo pensaba que el control de niño sano de la bebé sería la semana próxima...",https://practicingspanish.com/22bebe.html,"¿Mrs. Martínez, ¿qué haces aquí tan temprano? Me figuraba que la revisión del niño saludable sería la próxima semana...",,,,,,
"Yes, You are right, but it's that the girl hardly cries, and she is very irritable since last night. She rejects the breast, and doesn't eat since this morning after vomiting.","Sí, Ud. tiene razón, pero es que la niña casi no llora, y está muy irritable desde anoche. Me rechaza el pecho, y no come desde esta mañana después de vomitar.",https://practicingspanish.com/22bebe.html," Sí, tienes razón, pero es que la muchacha apenas llora y está muy irritada desde la noche pasada. Rechaza el pecho y no come desde esta mañana después de vomitar.",,,,,,
"Has she had diarrhea or fever? Nurse, the girl has dry mucusal surfaces. Please hydrate her with intravenous physiologic solution.","¿Ha tenido diarrea o fiebre?. Enfermera, la niña tiene las mucosas secas. Por favor, póngale una hidratación con solución fisiológica endovenosa.",https://practicingspanish.com/22bebe.html,"
Has ella tenido diarrea o fiebre? Enfermera, la niña tiene superficies muco-cistosas secas. Por favor, hidrata con solución fisiológica intravenosa.",,,,,,
"No, she has not had diarrhea, but fever, yes, two times, of 103 degrees, that don't go away completely with the medicine.","No, no ha tenido diarrea, pero fiebre sí, en dos oportunidades, de 103 grados, que no se quitan completamente con la medicina.",https://practicingspanish.com/22bebe.html,"

No ha tenido diarrea, pero sí ha tenido fiebre, dos veces de 103 grados, que no se desvanecen completamente con la medicina.",,,,,,
"Nurse, prepare equipment for lumbar puncture. We will have to rule out meningitis.","Enfermera, prepare un equipo para punción lumbar. Tendremos que descartar meningitis.",https://practicingspanish.com/22bebe.html,"🤔 Enfermera, prepara equipo para puncura lumbar. Necesitamos establecer un diagnóstico de meningitis.",,,,,,
"Doctor, what are you going to do to her?","Doctor, ¿qué le va a hacer?",https://practicingspanish.com/22bebe.html,"�ngel doctor, ¿qué le harás a ella?",,,,,,
We will have to take liquid from the spine. We will use a special needle and local anesthesia. Don't worry. It will not hurt her.,"Tendremos que tomar líquido de la médula espinal. Usaremos una aguja especial y anestésico local. No se preocupe, que no le dolerá.",https://practicingspanish.com/22bebe.html," Le hararemos una punción en la columna vertebral. Utilizaremos una aguja especial y anestesia local. No te preocupes, no le causará dolor.",,,,,,
And after that?,¿Y después de eso?,https://practicingspanish.com/22bebe.html, ¿Y después de eso?,,,,,,
"We will send the sample to the laboratory, to have a precise diagnosis.","Mandaremos la muestra al laboratorio, para tener un diagnóstico preciso.",https://practicingspanish.com/22bebe.html, Le enviamos el muestreo al laboratorio para un diagnóstico preciso.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
Help me doctor! My daughter's belly hurts her so much and she does not stop crying.,¡Ayúdeme doctor! A mi hija le duele demasiado el vientre y no para de llorar.,https://practicingspanish.com/16rosana.html," ¡Médico, ayuda! Mi hija está tan dolorido en el vientre y no para llorar.",,,,,,
"She is pallid. When was your last period, Rosana?",Está pálida. ¿Cuándo fue tu último período Rosana?,https://practicingspanish.com/16rosana.html," ¿Cuándo fue la última menstruación, Rosana?",,,,,,
"Just now it is present since this morning, with many clots, and it hurts me a lot. Help me, please!","Justamente me está bajando desde esta mañana, con muchos coágulos y me duele mucho. ¡Ayúdeme, por favor!",https://practicingspanish.com/16rosana.html, ¡Justo ahora está presente desde esta mañana con muchos coágulos y me duele mucho! ¡Ayúdame por favor!,,,,,,
"Do you have a boyfriend, Rosana? Do you think that you are pregnant? Nurse, start IV fluid please.","¿Tienes novio Rosana? ¿Crees que estás embarazada? Enfermera, póngale una hidratación intravenosa, por favor.",https://practicingspanish.com/16rosana.html,"

Please translate the sentence into Spanish and return only the translated sentence.",,,,,,
"Doctor! But she is only fourteen years old. She does not go out with anybody, she is still too young for that.","¡Doctor! Si sólo tiene catorce años. Ella no sale con nadie, todavía es joven para eso.",https://practicingspanish.com/16rosana.html,"¿Doctor? ¡Pero ella solo tiene catorce años! No sale con nadie, todavía es demasiado joven para eso.",,,,,,
"Doctor, it hurts me a lot!","Doctor, ¡me duele mucho!",https://practicingspanish.com/16rosana.html,"¡Doctor, me duele mucho!",,,,,,
"Nurse, come with me to do a gynecological exam. And include a pregnancy test in the laboratory orders.","Enfermera, venga conmigo, para hacer el examen ginecológico; e incluya una prueba de embarazo en las órdenes de laboratorio.",https://practicingspanish.com/16rosana.html,"₠Enfermera, ¿vienes conmigo para hacer un examen ginecológico? Y incluye una prueba de embarazo en las órdenes del laboratorio.",,,,,,
"Sir, I have to inform you that your daughter is on the way to the operating room. She is having a miscarriage.","Señor, tengo que informarle que su hija está en camino a la sala de operaciones. Está teniendo un aborto espontáneo.",https://practicingspanish.com/16rosana.html," Señor, debo informarle que su hija se encuentra en camino al quirófico y está sufriendo un aborto.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"I bring to you Ricardo, because he has not had a bowel movement for five days.","Le traigo a Ricardo, porque tiene cinco días que no puede evacuar.",https://practicingspanish.com/29ricardo.html, Te traigo a Ricardo porque no ha tenido una evacuación intestinal en cinco días.,,,,,,
Is he eating normally?,¿Está comiendo normalmente?,https://practicingspanish.com/29ricardo.html, ¿Come de manera normal?,,,,,,
"Not now. Initially, he was eating all his food, but yesterday his appetite began to diminish. Now, he only wants to drink liquids, and when I touch his belly, he complains.","Ya no. Inicialmente estaba comiendo toda su comida, pero ayer empezó a disminuir su apetito. Ahora, sólo quiere tomar cosas líquidas, y cuando le toco la barriga, se queja.",https://practicingspanish.com/29ricardo.html," No ahora. Al principio, estaba comiendo todo su comida, pero hace un día que su apetito empezó a disminuir. Ahora solo quiere beber líquidos y cuando le toco su estómago, se queja.",,,,,,
"I understand. In reality, he looks a bit distended. Has he had anything else, like vomiting or fever?","Entiendo. En realidad, luce un poco distendido. ¿Ha tenido alguna otra cosa, como vómitos o fiebre?",https://practicingspanish.com/29ricardo.html," Entiendo. En realidad, parece un poco inflado. ¿Ha tenido algo más, como vomitos o fiebre?",,,,,,
"This morning he burped, and threw up part of the milk that he had drunk. I took his temperature, but he did not have a fever.","Esta mañana eructó, y expulsó parte de la leche que había tomado. Le tomé la temperatura, pero no tenía fiebre.",https://practicingspanish.com/29ricardo.html," This morning he burped, and threw up part of the milk that he had drunk. I took his temperature, but he did not have a fever.",,,,,,
"Some little children can have intestinal obstruction, which begins with those symptoms. I am going to request an abdominal xray to guide us in the diagnosis.","Algunos niños pequeños pueden tener obstrucción intestinal, que inicia con estos síntomas. Le voy a pedir un rayos X de abdomen para orientarnos en el diagnóstico.",https://practicingspanish.com/29ricardo.html," Algunos niños pequeños pueden tener una obstrucción intestinal, que comienza con estos síntomas. Va a solicitar una radiografía abdominal para ayudarnos en el diagnóstico.",,,,,,
"Doctor, do you have my son's results now?","¿Doctor, ya tiene los resultados de mi hijo?",https://practicingspanish.com/29ricardo.html,"¿Doctor, ¿tienes los resultados de mi hijo ahora?",,,,,,
"Yes. The radiograph shows that it is only a case of severe constipation. We are going to give him an enema. Afterwords, you will take him home, and you are going to give him a mild laxative for a few days, to help him to regulate the bowel movements.","Sí. La radiografía muestra que sólo es un caso de constipación severa. Le vamos a colocar un enema. Después, se lo llevará a casa, y le va a dar un laxante suave por varios días, para ayudarlo a regular los movimientos intestinales.",https://practicingspanish.com/29ricardo.html," Sí. La radiografía muestra que solo es un caso de constipación severa. Le vamos a darle una enema. Luego, se llevará a casa y le dará un laxante suave durante unos días para ayudarle a regular sus movimientos intestinales.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Doctor, my daughter is here because she has very irregular periods. Sometimes it comes every month, then 2 or 3 months go by without it coming.","Doctor, le traigo a la niña porque tiene las menstruaciones muy irregulares. Unas veces le viene todos los meses, luego pasa 2 ó 3 meses sin venirle.",https://practicingspanish.com/47herminia.html,"¿Doctor, mi hija está aquí porque tiene periods muy irregulares? A veces viene cada mes, y luego pasan dos o tres meses sin venir.",,,,,,
How long ago is it that she had her first menstruation? Has it always been irregular like that?,¿Cuánto tiempo hace que tuvo su primera menstruación? ¿Siempre ha sido así irregular?,https://practicingspanish.com/47herminia.html, ¿Cuánto tiempo hace de su primera regla? ¿Ha sido siempre así?,,,,,,
"Two years ago I began with my periods. At first, it normally came every month, but 8 months ago it began to be irregular.","Hace dos años que empecé con mis períodos. Al principio, me venía todos los meses normalmente, pero desde hace 8 meses comenzó a ser irregular.",https://practicingspanish.com/47herminia.html,"2 años atrás empecé con mis períodos. Al principio venía cada mes, pero hace 8 meses que empezó a ser irregular.",,,,,,
"She is also worried because she says that her facial hair is thickening, and many pimples are appearing.","Además, ella está preocupada porque dice que el vello se le está haciendo más grueso en la cara, y le están saliendo muchos granos.",https://practicingspanish.com/47herminia.html,"

Please translate the sentence into Spanish for me.",,,,,,
Have you gained weight recently?,¿Has notado si estás aumentando de peso últimamente?,https://practicingspanish.com/47herminia.html, Has gainado peso recientemente?,,,,,,
"Well, in reality, yes. In these last months, I have gained 5 pounds.","Bueno, en realidad sí. En estos últimos meses he aumentado 5 libras de peso.",https://practicingspanish.com/47herminia.html,"❓ ¿En realidad, sí? En estos últimos meses, he ganado 5 libras.",,,,,,
"Which seems strange to me, because she is eating the same amount.","Lo que a mí me parece raro, porque ella está comiendo en las mismas cantidades.",https://practicingspanish.com/47herminia.html," ¿Qué parece extraño a mí, porque está comiendo la misma cantidad.",,,,,,
"I am going to order a blood hormonal profile and a pelvic untrasound. Some girls can have this disorder, due to a hormonal imbalance known as polycystic ovary syndrome.","Le voy a pedir un perfil hormonal en sangre y un ultrasonido pélvico. Algunas niñas pueden presentar este trastorno, debido a un desequilibrio hormonal, conocido como síndrome de ovarios poliquísticos.",https://practicingspanish.com/47herminia.html,"

Please translate the sentence into Spanish.",,,,,,
So that's why I have these changes?,¿Y por eso es que tengo estos cambios?,https://practicingspanish.com/47herminia.html, ¿Por qué tengo estas cambios?,,,,,,
"Don't worry. Once the diagnosis is made, I will prescribe for you treatment by means of hormones, which will regulate periods for you, and will improve your skin condition.","No te preocupes. Una vez hecho el diagnóstico, te indicaremos tratamiento a base de hormonas, que te regularizarán las menstuaciones y mejorarán la condición de tu piel.",https://practicingspanish.com/47herminia.html," No te preocupes. Una vez que se hace el diagnóstico, te recetaré tratamiento con hormonas, que regularizarán tus periodos y mejorarán tu condición cutánea.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
Hello!,¡Aló!,https://practicingspanish.com/59mama.html, ¡Hola!,,,,,,
Mrs. Velásquez?,¿La señora Velásquez?,https://practicingspanish.com/59mama.html, Señora Velásquez?,,,,,,
"Yes, it is I. Who is calling?","Sí, soy yo. ¿Quién llama?",https://practicingspanish.com/59mama.html, ¡Sí soy yo! ¿Quién llama?,,,,,,
"I am Dr. Pérez. I want to speak with you about the results of the laboratory tests that we did on Manuel last week, when he came for his routine check up.","Soy el Dr. Pérez. Quiero hablar con Usted de los resultados de los exámenes de laboratorio, que le hicimos a Manuel la semana pasada, cuando vino para su chequeo de rutina.",https://practicingspanish.com/59mama.html," ¡Soy el Dr. Pérez! Quiero hablar contigo sobre los resultados de las pruebas de laboratorio que hicimos a Manuel la semana pasada, cuando vino por su revisión rutinaria.",,,,,,
Why? Is there something wrong?,¿Por qué? ¿Hay algo malo?,https://practicingspanish.com/59mama.html,¿Por qué? ¿Hay algo malo?,,,,,,
"He has anemia due to a lack of iron in the diet, and we must treat him for that.","Tiene anemia por falta de hierro en la comida, y debemos darle tratamiento.",https://practicingspanish.com/59mama.html,"

Please translate only the sentence into Spanish.",,,,,,
Anemia? But isn't that when the children are pallid and weak?,¿Anemia? ¿Pero eso no es cuando los niños están pálidos y débiles?,https://practicingspanish.com/59mama.html," ¿Anemia? ¡No, es cuando los niños son pálidos y débiles!",,,,,,
What is happening with Manuel is that his condition is moderate. Therefore he does not have symptoms.,Lo que sucede con Manuel es que su condición es moderada. Por eso no presenta ningún síntoma.,https://practicingspanish.com/59mama.html," Lo que está sucediendo con Manuel es que su condición es moderada. Por lo tanto, no tiene síntomas.",,,,,,
"But then if it is moderate and he does not have symptoms, why does he need medicine?","Pero entonces, si es moderada y no tiene síntomas, ¿por qué necesita medicina?",https://practicingspanish.com/59mama.html," Pero si es moderado y no tiene síntomas, ¿por qué necesita medicina?",,,,,,
"To avoid problems with his mental development. The red blood cells of Manuel are small and pallid, and the levels of iron are low.","Para que no haya problemas del desarrollo cognitivo. Los glóbulos rojos de Manuel están pequeños y pálidos, y los niveles de hierro están bajos.",https://practicingspanish.com/59mama.html," Para evitar problemas en el desarrollo mental de Manuel. Las células rojas de Manuel son pequeñas y pálidas, y los niveles de hierro están bajos.",,,,,,
"Problems with development? But he is already two years old, and he is growing so well...","¿Problemas del desarrollo? Pero, ya tiene dos años, y está creciendo tan bien...",https://practicingspanish.com/59mama.html,"

¿Problemas con el desarrollo? ¡Pero ya tiene dos años y crece tan bien!",,,,,,
"Yes, but if the iron deficiency persists, he can have learning difficlties when he is in school. Does he drink a lot of milk?","Sí, pero si la deficiencia de hierro persiste, puede tener dificultades de aprendizaje cuando esté en la escuela. ¿Él toma mucha leche?",https://practicingspanish.com/59mama.html," ¡Sí! Pero si la deficiencia de hierro persiste, puede tener dificultades para aprender en la escuela. ¿Le gusta el leche?",,,,,,
"Yes, of course, the only thing that he drinks is milk, all the time, and he eats quite a bit of bread, fruits, beans...","Sí, claro, lo único que toma es leche, a toda hora, y come bastante pan, frutas, frijoles...",https://practicingspanish.com/59mama.html," ¡Sí, por supuesto! El único cosa que bebe es leche, todo el tiempo, y come bastante frutas, judías...",,,,,,
The excess milk is probably contributing to worsen the anemia. And does he eat enough red meat and chicken?,La leche en exceso probablemente está contribuyendo a empeorar la anemia. ¿Y come suficientes carnes rojas y pollo?,https://practicingspanish.com/59mama.html,"

Please translate the sentence into Spanish, leaving only the sentence translated.",,,,,,
"Oh, doctor, that, yes, is difficult. He doesn't like any kind of meat","Ay, doctor, eso sí es difícil. No le gusta ninguna de las carnes.",https://practicingspanish.com/59mama.html," ¡Oh, doctor! ¡Eh, sí, es difícil! No le gusta ningún tipo de carne.",,,,,,
"Well, that is the explanation of the problem. I am going to prescribe iron for him. What is the name and telephone number of your pharmacy?","Bueno, esa es la explicación del problema. Le voy a indicar hierro. ¿Cuál es el nombre y el número de teléfono de su farmacia?",https://practicingspanish.com/59mama.html, ¡Bueno! Eso es la explicación del problema. Voy a recetar hierro para él. ¿Cuál es el nombre y el número de teléfono de tu farmacia?,,,,,,
Let me search for that information. Over here nearby I have it.,Déjeme buscar esa información. Por aquí cerca la tengo.,https://practicingspanish.com/59mama.html,"

Please translate the sentence ""Let me search for that information"" into Spanish.",,,,,,
"Good. Additionally, when you feed him, try to give him more meat and green vegatables, and less milk. Return here in two months to do the tests again. Agreed?","Bien. Adicionalmente, cuando lo alimente, intente darle más carne y vegetales verdes, y menos leche. Regrese aquí en dos meses para hacerle las pruebas otra vez. ¿De acuerdo?",https://practicingspanish.com/59mama.html," ¡Buen! Además, cuando le des la comida, trata de darle más carne y vegetales verdes, y menos leche. Regresa aquí en dos meses para hacer los exámenes nuevamente. ¿Estás de acuerdo?",,,,,,
"Yes, doctor, thanks for calling me.","Sí, doctor, gracias por llamarme.",https://practicingspanish.com/59mama.html," ¡Doctor, gracias por llamarme!",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrando al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
